State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date,Avg Temperature,PR Score,Course Score
Texas,TX,Corpus Christi Marathon,Corpus Christi,206,Flat,271,271,12/27/2026,58,98.72,99.41
Texas,TX,Lubbock Marathon,Lubbock,150,Rolling Hills,878,878,10/25/2026,63,96.74,96.74
Texas,TX,Galveston Marathon,Galveston,131,Flat,91,91,02/21/2027,56,99.66,99.82
Texas,TX,USA Fit Marathon,Sugar Land,130,Flat,0,0,01/25/2026,51,99.34,99.34
Texas,TX,Brownsville Chief of Police Marathon,Brownsville,103,Mostly Flat,0,0,12/13/2026,65,0.00,0.00
Texas,TX,South Texas International Marathon,Harlingen,103,Flat,172,234,12/07/2025,64,97.41,99.82
Texas,TX,Marathon 2 Marathon,Marathon,103,Hilly,444,802,10/24/2026,57,96.31,96.31
Texas,TX,Harlingen Marathon,Harlingen,100,Flat,0,0,02/08/2026,66,0.00,0.00
Utah,UT,Salt Lake City Marathon,Salt Lake City,1931,Downhill,911,1495,04/24/2027,50,96.95,96.95
Utah,UT,Ogden Marathon,Ogden,1528,Downhill,398,1514,05/16/2026,58,99.03,99.03
Utah,UT,Utah Valley Marathon,Provo,1319,Downhill,395,1830,06/06/2026,63,99.06,99.22
Utah,UT,Top of Utah Marathon,Logan,149,Mostly Flat,345,345,09/19/2026,59,95.34,95.34
Virginia,VA,Marine Corps Marathon,Arlington,30127,Mostly Flat,699,666,10/25/2026,55,98.47,98.47
Virginia,VA,Richmond Marathon,Richmond,4943,Rolling Hills,685,813,11/14/2026,50,98.69,98.69
Virginia,VA,Shamrock Marathon,Virginia Beach,2435,Flat,270,272,03/21/2027,48,99.68,99.68
Virginia,VA,Newport News One City Marathon,Newport News,508,Flat,318,312,03/07/2027,48,99.34,99.34
Virginia,VA,Charlottesville Marathon,Charlottesville,178,Hilly,0,0,04/11/2026,55,0.00,0.00
Virginia,VA,Tidewater Striders Dismal Swamp Marathon,Chesapeake,133,Flat,134,124,12/07/2025,49,99.70,99.70
Virginia,VA,Tidewater Strider Marathon,Chesapeake,123,Flat,134,124,04/26/2026,60,99.70,99.70
Virginia,VA,Three Sisters Marathon,Danville,111,Rolling Hills,1141,1141,09/12/2026,74,93.20,97.33
Vermont,VT,Vermont City Marathon,Burlington,1472,Rolling Hills,855,856,05/24/2026,60,97.75,98.06
Vermont,VT,Champlain Islands Marathon,South Hero,136,Rolling Hills,946,946,10/18/2026,46,97.73,97.73
Washington,WA,Seattle Marathon,Seattle,2470,Hilly,818,908,11/29/2026,41,98.22,98.22
Washington,WA,Tacoma City Marathon,Tacoma,422,Hilly,864,1126,05/02/2027,51,98.49,98.49
Washington,WA,Capital City Marathon,Olympia,389,Rolling Hills,1120,1119,05/17/2026,53,97.26,97.26
Washington,WA,North Olympic Discovery Marathon,Port Angeles,271,Hilly,877,891,06/07/2026,57,97.07,97.94
Washington,WA,Whidbey Island Marathon,Oak Harbor,233,Hilly,0,0,04/26/2026,45,94.94,94.94
Washington,WA,Spokane Marathon,Spokane,201,Hilly,991,989,10/11/2026,48,97.89,97.89
Washington,WA,Yakima River Canyon Marathon,Ellensburg,190,Downhill,779,1071,04/03/2027,45,98.67,98.67
